Run,Event,Type1,E1,px1,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2
163340,94366927,G,11.1534,1.5007,-3.09697,10.6087,3.44141,1.84427,-1.1195700000000002,1,G,14.9326,2.26529,-2.9947,14.4524,3.75497,2.0573900000000003,-0.92319,-1
163340,93973994,G,8.92595,2.0763,8.66956,-0.434794,8.914719999999997,-0.0487533,1.33573,1,G,8.133569999999999,1.04952,8.05407,-0.417372,8.122160000000001,-0.0513643,1.4412200000000002,-1
163340,93882809,G,29.5949,-12.0052,18.5089,19.7267,22.0614,0.804529,2.1462,1,G,11.3158,-5.1703,6.8316399999999975,7.39134,8.56758,0.780892,2.21865,-1
163340,94242407,G,6.1452800000000005,4.52729,3.90969,1.40399,5.98181,0.232607,0.712327,1,G,14.7631,10.1289,9.62776,4.75917,13.9745,0.334298,0.7600399999999999,-1
163340,94097157,G,7.3723100000000015,0.436801,-3.83082,-6.28282,3.85565,-1.26452,-1.45726,1,G,15.6169,-0.452813,-8.47362,-13.1099,8.485710000000001,-1.21943,-1.62418,-1
163340,94368789,G,6.8319199999999976,1.99649,-4.03036,-5.14142,4.49775,-0.979037,-1.11087,1,G,12.5128,2.81831,-8.24204,-8.982439999999997,8.71058,-0.903272,-1.24132,-1
163340,94305027,G,12.5091,-5.41212,2.68356,-10.9533,6.0409,-1.35683,2.68128,1,G,15.0254,-7.14854,2.54105,-12.9689,7.58673,-1.30559,2.80006,-1
163340,94461232,G,5.37186,-1.6353799999999998,-4.77033,-1.848,5.04287,-0.358716,-1.90106,1,G,6.4807,-3.0651900000000003,-5.35361,-1.98287,6.169,-0.316133,-2.09078,-1
163340,94691619,G,8.51318,-3.55697,6.55863,4.0982,7.46108,0.5248470000000001,2.06774,1,G,7.5175,-3.87099,5.67881,3.04438,6.8726600000000015,0.42963,2.1691,-1
163340,94442676,G,9.77701,-5.74302,-2.77429,7.40945,6.377999999999999,0.991234,-2.69158,1,G,9.54001,-5.80235,-1.8176,7.35049,6.0803699999999985,1.02165,-2.83802,-1
163340,95116313,G,11.7636,-2.19429,-5.68766,-10.0602,6.09625,-1.27531,-1.939,1,G,14.4076,-2.14759,-6.15506,-12.848,6.51896,-1.43053,-1.9065,-1
163340,95290633,G,6.23315,6.22155,0.0386273,-0.363171,6.22167,-0.058339,0.00620856,-1,G,6.52185,6.3834,-0.488359,-1.23978,6.40206,-0.192463,-0.0763557,1
163340,94927077,G,11.1126,-4.64365,1.69815,9.9515,4.75637,1.45001,2.79394,1,G,8.47504,-3.42994,2.19363,7.43227,4.06658,1.36275,2.5726400000000003,-1
163340,95054401,G,7.42208,-7.2715,-0.144996,1.47659,7.27295,0.201655,-3.12165,-1,G,19.8404,-19.4167,1.3259999999999998,3.85529,19.462,0.196821,3.07341,1
163340,95832843,G,8.6184,6.07303,-4.4299800000000005,4.21416,7.51708,0.5347569999999999,-0.63022,1,G,12.5122,9.36962,-6.49339,5.15656,11.2056,0.438222,-0.60635,-1
163340,95594632,G,13.932,-6.24199,1.47479,12.3674,6.41385,1.41107,2.90958,-1,G,15.0807,-6.01826,1.084,13.7849,6.11511,1.55187,2.96338,1
163340,96402430,G,13.7558,-12.3917,-1.35892,5.81459,12.466,0.450991,-3.03237,1,G,6.8121300000000025,-6.30312,0.00100631,2.5816,6.30312,0.398911,3.14143,-1
163340,96839671,G,14.7934,-7.60457,-3.35693,-12.2366,8.31254,-1.17917,-2.72588,-1,G,26.5968,-14.706,-5.4088,-21.4908,15.6691,-1.12133,-2.78915,1
163340,96396909,G,7.0796100000000015,-3.6507,0.943373,5.9910000000000005,3.77062,1.24307,2.88872,1,G,7.7321300000000015,-4.60254,1.6022299999999998,6.00201,4.87345,1.03603,2.8066,-1
163340,97174958,G,29.1178,9.84174,-15.5074,-22.5942,18.3668,-1.03514,-1.00529,-1,G,10.8633,3.4006300000000005,-6.2481300000000015,-8.209589999999999,7.1136,-0.986234,-1.07237,1
163340,97221316,G,6.39933,3.4164800000000004,-5.208069999999998,-1.46424,6.22867,-0.232968,-0.990217,1,G,7.3784100000000015,3.15905,-6.27309,-2.25798,7.0236199999999975,-0.316189,-1.10428,-1
163340,97832421,G,15.6741,-11.1981,-6.83971,8.5724,13.1217,0.613988,-2.59328,1,G,8.192260000000001,-6.27901,-3.27618,4.1161400000000015,7.0823199999999975,0.552624,-2.66068,-1
163340,97711893,G,12.2621,-9.42581,-4.55855,-6.38135,10.4703,-0.576932,-2.69113,1,G,12.0831,-9.8723,-3.96744,-5.7259400000000005,10.6397,-0.515087,-2.75947,-1
163340,98256167,G,6.55947,-5.36264,-3.73385,-0.562099,6.51967,-0.0859181,-2.53335,-1,T,6.96873,-5.49086,-4.0167,-1.50618,6.80319,-0.219623,-2.51002,1
163340,98319984,G,10.6985,5.16752,-4.427980000000002,-8.25446,6.805160000000001,-1.02425,-0.708479,-1,G,20.8503,9.01749,-8.526,-16.7546,12.41,-1.10863,-0.75739,1
163340,98740127,G,8.765460000000001,3.15208,-7.8883100000000015,-2.15897,8.494760000000001,-0.251493,-1.19064,1,G,6.2615300000000005,1.70607,-5.94464,-0.972738,6.18461,-0.156642,-1.29131,-1
163340,98535421,G,32.1811,-2.13991,-7.854419999999997,31.1343,8.14071,2.05125,-1.83679,-1,G,21.9234,-0.6958770000000001,-5.3681800000000015,21.2444,5.4131,2.07627,-1.6997099999999998,1
163340,99358638,G,19.4072,9.27856,-0.292064,-17.0427,9.28316,-1.36773,-0.031466900000000006,-1,G,13.7584,6.9931899999999985,-0.857792,-11.817,7.0456,-1.28921,-0.122051,1
163340,99092682,G,7.61845,1.68874,7.0720600000000005,-2.27238,7.27089,-0.307654,1.33639,1,G,4.31733,1.6398400000000002,3.73318,-1.4151,4.0774599999999985,-0.34044,1.15691,-1
163340,99611425,G,10.1595,-1.87573,-1.41931,-9.88291,2.35219,-2.14248,-2.49384,-1,G,7.61067,-1.89028,-0.460437,-7.35703,1.94555,-2.0403,-2.90266,1
163340,99800634,G,13.1377,4.26745,-0.856059,12.3953,4.3524699999999985,1.76921,-0.197974,1,G,22.9961,6.9470300000000025,-0.377461,21.9182,6.9572699999999985,1.86496,-0.0542808,-1
163340,100115101,G,8.22573,2.30682,1.16201,7.80895,2.58296,1.82578,0.466626,1,G,6.74678,1.10237,1.25567,6.53575,1.6709,2.07302,0.850316,-1
163340,99951600,G,12.6131,-1.32864,-5.99938,11.0146,6.1447400000000005,1.34681,-1.7887400000000002,1,G,21.7502,-1.13058,-10.3415,19.1007,10.4031,1.36782,-1.67969,-1
163340,100747070,G,7.34853,-5.29853,0.949992,5.00129,5.38302,0.8303299999999999,2.96418,-1,G,4.67885,-3.55207,1.33402,2.73563,3.79431,0.669771,2.78233,1
163340,100514437,G,33.3705,-0.431813,6.73498,32.6808,6.7488100000000015,2.28106,1.6348200000000002,-1,G,30.3086,0.312202,6.6999,29.5569,6.70717,2.18892,1.52423,1
163340,101134419,G,15.4963,1.6568599999999998,3.8314,14.9231,4.1743,1.98612,1.16264,-1,G,34.452,3.72231,9.98023,32.7639,10.6518,1.84218,1.21381,1
163340,101212823,G,11.8012,-2.82041,9.99306,5.6071800000000005,10.3834,0.51671,1.84588,1,G,11.0999,-2.03799,9.88282,4.6231300000000015,10.0908,0.443474,1.77416,-1
163340,101235566,G,10.6271,5.54256,6.7351199999999976,6.06976,8.722489999999999,0.649284,0.8822270000000001,1,G,13.6567,6.25875,8.7683,8.39277,10.7729,0.716237,0.950873,-1
163340,101777023,G,15.4018,3.0763,-11.328,-9.97077,11.7383,-0.770796,-1.3056299999999998,1,G,22.5292,5.11484,-15.8865,-15.1331,16.6896,-0.813868,-1.25932,-1
163340,101887002,G,9.17938,-5.56423,-5.3958,4.91676,7.75083,0.598058,-2.37156,1,G,20.2946,-13.0887,-12.0551,9.75804,17.7944,0.524059,-2.39728,-1
163340,101464099,G,36.0383,-20.1672,22.7403,19.3626,30.3947,0.600326,2.2963,1,T,12.6554,-6.62793,7.97319,7.25583,10.3683,0.652511,2.26432,-1
163340,102080729,G,17.2651,-7.720239999999999,2.46286,15.2448,8.10356,1.38923,2.83279,-1,G,13.2958,-5.9226300000000025,2.80926,11.567,6.555110000000001,1.33311,2.69869,1
163340,102725421,G,10.6005,2.19801,8.63188,-5.74612,8.90733,-0.607111,1.32146,1,G,10.7902,2.56012,9.19183,-5.03714,9.54169,-0.506034,1.29916,-1
163340,102853059,G,18.225,-5.98897,-5.99857,16.1335,8.476469999999999,1.39954,-2.3553900000000003,1,G,12.2338,-4.09738,-3.28751,11.048,5.25321,1.48881,-2.46542,-1
163340,103119799,G,11.4294,-4.17194,-5.9377,8.829360000000003,7.2568100000000015,1.02662,-2.18328,-1,G,10.0568,-4.15543,-5.71644,7.15419,7.0672,0.89005,-2.19937,1
163340,103289871,G,14.0408,-1.99656,-6.07937,12.4975,6.39883,1.42246,-1.88811,1,G,18.7002,-3.655,-8.5583,16.2198,9.3061,1.32238,-1.97442,-1
163340,103024541,G,8.27844,-7.69389,2.3067,-2.00117,8.03223,-0.246635,2.85031,-1,G,10.5466,-9.71155,2.15686,-3.5003300000000004,9.94818,-0.344973,2.92305,1
163340,103017439,G,7.4439600000000015,-3.47492,-1.14248,6.48236,3.65792,1.33683,-2.82395,-1,G,14.1024,-6.45405,-0.856583,12.5091,6.51064,1.40789,-3.00964,1
163340,103183907,G,8.3689,-1.10869,6.33157,5.35812,6.4279,0.7586689999999999,1.7441400000000002,-1,G,15.7661,-3.08798,12.2581,9.42137,12.640999999999998,0.689384,1.81758,1
163340,103650241,G,5.36413,-4.78906,2.24954,-0.875915,5.29108,-0.164799,2.70246,1,G,5.599,-5.34481,1.39405,-0.909545,5.5236199999999975,-0.16393,2.88645,-1
163340,103869675,G,17.4857,3.36397,0.268705,-17.1566,3.37468,-2.32877,0.07970830000000001,1,T,43.5628,8.0581,-0.8434520000000001,-42.8026,8.10212,-2.36646,-0.104292,-1
163340,103866384,G,12.5445,-2.26565,6.39015,10.5539,6.779910000000001,1.22578,1.91152,1,G,13.7322,-1.97258,7.774589999999999,11.1457,8.02093,1.13191,1.81927,-1
163340,103780980,G,9.1728,-4.98499,3.4171,-6.8994399999999985,6.04373,-0.978033,2.54068,1,G,6.08075,-3.9312,2.42099,-3.95586,4.61687,-0.7764300000000001,2.58961,-1
163340,104286186,G,11.2115,3.68015,5.93436,-8.77079,6.98285,-1.05137,1.0157,-1,G,8.81815,2.79339,5.35531,-6.4238800000000005,6.04006,-0.925601,1.09001,1
163340,104761757,G,19.9372,-3.82448,6.14363,18.5771,7.23677,1.67185,2.1276,1,G,15.0056,-2.61495,5.40209,13.7527,6.00171,1.56687,2.02161,-1
163340,105086598,G,8.50145,-3.33732,-0.701573,7.786760000000001,3.41027,1.56361,-2.93439,-1,G,7.569669999999999,-3.80382,-0.7165729999999999,6.50432,3.87072,1.29083,-2.95539,1
163340,105039522,G,29.4991,5.98195,-3.17599,-28.7109,6.77279,-2.1511400000000003,-0.488084,1,G,25.2507,5.68957,-3.39057,-24.3664,6.62323,-2.01375,-0.537419,-1
163340,105167274,G,10.8778,-1.92349,2.45398,10.4209,3.1179900000000003,1.92144,2.23559,1,G,17.5421,-1.92977,3.3187300000000004,17.1166,3.83901,2.20033,2.09749,-1
163340,105271205,G,10.7855,9.66156,4.53859,1.54006,10.6745,0.143779,0.439162,-1,G,8.26224,7.417210000000002,3.06679,1.95789,8.02622,0.241581,0.392064,1
163340,105055100,G,11.945,3.13008,11.1243,-3.02058,11.5563,-0.258492,1.29651,1,G,7.66466,2.62754,6.814,-2.32404,7.30306,-0.31308800000000003,1.20276,-1
163340,105470279,G,38.8697,17.6521,17.0155,-30.1616,22.7045,-1.03492,0.7663939999999999,-1,G,5.89596,2.3419,2.81415,-4.62031,3.66114,-1.05506,0.876735,1
163340,105585378,G,14.199000000000002,-6.0420000000000025,-4.1615199999999986,-12.1563,7.336489999999999,-1.2788,-2.53845,-1,G,5.9053,-2.76776,-1.15831,-5.0852,3.00036,-1.29821,-2.7452400000000003,1
163340,105603014,G,22.6788,3.39773,-15.165,-16.5165,15.541,-0.925068,-1.35039,-1,G,12.7185,1.8598,-9.01138,-8.77985,9.20129,-0.848613,-1.36727,1
163340,106375293,G,12.9174,-7.12033,0.37272,10.7708,7.13007,1.20064,3.08929,-1,G,10.3914,-6.1649,-0.279122,8.35978,6.17122,1.11133,-3.09635,1
163340,106206482,G,16.0153,2.04221,4.43651,15.252,4.88398,1.8566,1.13939,-1,G,12.4315,1.91196,2.6644400000000004,11.9907,3.27945,2.0078,0.948366,1
163340,106490918,G,14.5349,8.34646,-2.50865,-11.6317,8.71532,-1.09939,-0.291975,-1,G,12.2346,6.85313,-3.04308,-9.66691,7.49838,-1.07185,-0.417889,1
163340,106925430,G,9.66604,0.0951611,9.66038,-0.298744,9.66085,-0.030918200000000007,1.56095,1,G,10.8198,0.984157,10.7724,0.210959,10.8172,0.0195009,1.47969,-1
163340,107615784,G,15.0105,-6.27657,-4.57639,-12.8439,7.7678,-1.27699,-2.51159,1,G,24.4927,-11.1327,-8.1406,-20.2404,13.7915,-1.17665,-2.51021,-1
163340,107438004,G,4.95333,1.6482900000000005,-4.27452,1.8804,4.58131,0.399722,-1.20276,1,G,5.08256,1.11851,-4.13555,2.73265,4.28414,0.601012,-1.30665,-1
163340,108204682,G,7.5671300000000015,1.7406,-6.00028,4.26817,6.24765,0.6388199999999999,-1.28846,1,G,10.1455,2.15809,-8.686010000000001,4.77651,8.95009,0.511134,-1.3272700000000002,-1
163340,108888590,G,7.2328,-5.27441,4.38223,-2.2976,6.857360000000001,-0.329084,2.4483200000000003,1,G,7.66489,-4.91512,5.2425,-2.66407,7.18625,-0.362712,2.32398,-1
163340,109054199,G,28.9842,7.543889999999997,-2.00672,-27.913,7.80622,-1.98632,-0.259985,-1,T,8.2508,2.32081,-0.0558599,-7.91677,2.32148,-1.94076,-0.024064500000000003,1
173692,2570543164,G,13.5321,13.0103,0.645101,-3.66364,13.0263,-0.277667,0.0495432,1,G,6.0898400000000015,5.89004,-0.31001,-1.51208,5.91952,-0.253739,-0.0523005,-1
173692,2570900673,G,10.9337,-1.7349900000000005,3.07256,10.3482,3.52857,1.7969400000000002,2.08483,1,G,11.6911,-0.739397,3.3838,11.1658,3.4636400000000003,1.88691,1.78593,-1
173692,2572469902,G,13.2602,-8.745560000000001,8.760019999999999,4.75394,12.3783,0.37519,2.35537,1,G,22.1994,-15.5062,14.0329,7.4458600000000015,20.9132,0.34891300000000003,2.40603,-1
